EMP1001,2026,18,5,23,1,True
EMP1002,2026,20,5,25,0,True
EMP1003,2026,26,5,31,7,True
EMP1004,2026,20,5,25,1,True
EMP1005,2026,22,5,27,12,True
EMP1006,2026,24,5,29,12,True
EMP1007,2026,22,5,27,12,True
EMP1008,2026,20,5,25,12,True
EMP1009,2026,26,5,31,8,True
EMP1010,2026,24,5,29,2,True
EMP1011,2026,14,5,19,1,True
EMP1012,2026,24,5,29,12,True
EMP1013,2026,26,5,31,14,True
EMP1014,2026,24,5,29,5,True
EMP1015,2026,22,5,27,1,True
EMP1016,2026,22,5,27,8,True
EMP1017,2026,24,5,29,12,True
EMP1018,2026,24,5,29,13,True
EMP1019,2026,26,5,31,14,True
EMP1020,2026,26,5,31,3,True
EMP1021,2026,12,0,12,3,True
EMP1022,2026,26,5,31,8,True
EMP1023,2026,16,5,21,1,True
EMP1024,2026,26,5,31,11,True
EMP1025,2026,16,5,21,1,True
EMP1026,2026,26,5,31,11,True
EMP1027,2026,14,5,19,2,True
EMP1028,2026,22,5,27,6,True
EMP1029,2026,24,5,29,12,True
EMP1030,2026,26,5,31,6,True
EMP1031,2026,22,5,27,8,True
EMP1032,2026,26,5,31,8,True
EMP1033,2026,24,5,29,11,True
EMP1034,2026,18,5,23,0,True
EMP1035,2026,22,5,27,9,True
EMP1036,2026,26,5,31,2,True
EMP1037,2026,12,0,12,0,True
EMP1038,2026,24,5,29,2,True
EMP1039,2026,24,5,29,2,True
EMP1040,2026,22,5,27,5,True
EMP1041,2026,26,5,31,5,True
EMP1042,2026,26,5,31,6,True
EMP1043,2026,24,5,29,7,True
EMP1044,2026,22,5,27,12,True
EMP1045,2026,22,5,27,10,True
EMP1046,2026,22,5,27,5,True
EMP1047,2026,26,5,31,0,True
EMP1048,2026,24,5,29,5,True
EMP1049,2026,28,5,33,12,True
EMP1050,2026,24,5,29,12,True
EMP1051,2026,24,5,29,12,True
EMP1052,2026,22,5,27,6,True
EMP1053,2026,26,5,31,3,True
EMP1054,2026,24,5,29,12,True
EMP1055,2026,24,5,29,8,True
EMP1056,2026,24,5,29,12,True
EMP1057,2026,26,5,31,12,True
EMP1058,2026,26,5,31,6,True
